Model,Variable,Definition
Child,G01,if HHS_HCC019 = 1 then do; HHS_HCC019 = 0; G01 = 1; end;
Child,G01,if HHS_HCC020 = 1 then do; HHS_HCC020 = 0; G01 = 1; end;
Child,G01,if HHS_HCC021 = 1 then do; HHS_HCC021 = 0; G01 = 1; end;
Child,G02,if HHS_HCC026 = 1 then do; HHS_HCC026 = 0; G02 = 1; end;
Child,G02,if HHS_HCC027 = 1 then do; HHS_HCC027 = 0; G02 = 1; end;
Child,G02,if HHS_HCC028 = 1 then do; HHS_HCC028 = 0; G02 = 1; end;
Child,G02,if HHS_HCC029 = 1 then do; HHS_HCC029 = 0; G02 = 1; end;
Child,G02,if HHS_HCC030 = 1 then do; HHS_HCC030 = 0; G02 = 1; end;
Child,G03,if HHS_HCC054 = 1 then do; HHS_HCC054 = 0; G03 = 1; end;
Child,G03,if HHS_HCC055 = 1 then do; HHS_HCC055 = 0; G03 = 1; end;
Child,G04,if HHS_HCC061 = 1 then do; HHS_HCC061 = 0; G04 = 1; end;
Child,G04,if HHS_HCC062 = 1 then do; HHS_HCC062 = 0; G04 = 1; end;
Child,G06,if HHS_HCC067 = 1 then do; HHS_HCC067 = 0; G06 = 1; end;
Child,G06,if HHS_HCC068 = 1 then do; HHS_HCC068 = 0; G06 = 1; end;
Child,G07,if HHS_HCC069 = 1 then do; HHS_HCC069 = 0; G07 = 1; end;
Child,G07,if HHS_HCC070 = 1 then do; HHS_HCC070 = 0; G07 = 1; end;
Child,G07,if HHS_HCC071 = 1 then do; HHS_HCC071 = 0; G07 = 1; end;
Child,G08,if HHS_HCC073 = 1 then do; HHS_HCC073 = 0; G08 = 1; end;
Child,G08,if HHS_HCC074 = 1 then do; HHS_HCC074 = 0; G08 = 1; end;
Child,G09,if HHS_HCC081 = 1 then do; HHS_HCC081 = 0; G09 = 1; end;
Child,G09,if HHS_HCC082 = 1 then do; HHS_HCC082 = 0; G09 = 1; end;
Child,G10,if HHS_HCC106 = 1 then do; HHS_HCC106 = 0; G10 = 1; end;
Child,G10,if HHS_HCC107 = 1 then do; HHS_HCC107 = 0; G10 = 1; end;
Child,G11,if HHS_HCC108 = 1 then do; HHS_HCC108 = 0; G11 = 1; end;
Child,G11,if HHS_HCC109 = 1 then do; HHS_HCC109 = 0; G11 = 1; end;
Child,G12,if HHS_HCC117 = 1 then do; HHS_HCC117 = 0; G12 = 1; end;
Child,G12,if HHS_HCC119 = 1 then do; HHS_HCC119 = 0; G12 = 1; end;
Child,G13,if HHS_HCC126 = 1 then do; HHS_HCC126 = 0; G13 = 1; end;
Child,G13,if HHS_HCC127 = 1 then do; HHS_HCC127 = 0; G13 = 1; end;
Child,G14,if HHS_HCC128 = 1 then do; HHS_HCC128 = 0; G14 = 1; end;
Child,G14,if HHS_HCC129 = 1 then do; HHS_HCC129 = 0; G14 = 1; end;
Child,G15,if HHS_HCC160 = 1 then do; HHS_HCC160 = 0; G15 = 1; end;
Child,G15,if HHS_HCC161 = 1 then do; HHS_HCC161 = 0; G15 = 1; end;
Child,G16,if HHS_HCC187 = 1 then do; HHS_HCC187 = 0; G16 = 1; end;
Child,G16,if HHS_HCC188 = 1 then do; HHS_HCC188 = 0; G16 = 1; end;
Child,G17,if HHS_HCC203 = 1 then do; HHS_HCC203 = 0; G17 = 1; end;
Child,G17,if HHS_HCC204 = 1 then do; HHS_HCC204 = 0; G17 = 1; end;
Child,G17,if HHS_HCC205 = 1 then do; HHS_HCC205 = 0; G17 = 1; end;
Child,G18,if HHS_HCC207 = 1 then do; HHS_HCC207 = 0; G18 = 1; end;
Child,G18,if HHS_HCC208 = 1 then do; HHS_HCC208 = 0; G18 = 1; end;
Child,G18,if HHS_HCC209 = 1 then do; HHS_HCC209 = 0; G18 = 1; end;
