Model,Variable,Definition
Infant,IHCC_SEVERITY5,if HHS_HCC008 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC018 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC034 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC035 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC041 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC042 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC125 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC128 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC129 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC130 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC137 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC158 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC183 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC184 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY5,if HHS_HCC251 = 1 then IHCC_SEVERITY5 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC002 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC009 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC026 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC064 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC067 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC068 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC073 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC106 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC107 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC111 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC112 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC115 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC122 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC126 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC127 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC131 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC135 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC138 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC145 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC146 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC154 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC156 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC163 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC187 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC226 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY4,if HHS_HCC253 = 1 then IHCC_SEVERITY4 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC001 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC003 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC006 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC010 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC011 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC012 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC027 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC030 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC038 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC045 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC054 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC055 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC061 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC063 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC066 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC074 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC075 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC096 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC108 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC109 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC110 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC113 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC117 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC119 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC121 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC132 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC139 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC142 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC149 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC150 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC159 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC162 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY3,if HHS_HCC227 = 1 then IHCC_SEVERITY3 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC004 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC013 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC019 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC020 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC021 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC023 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC028 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC029 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC036 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC046 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC048 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC056 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC057 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC062 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC069 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC070 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC081 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC082 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC097 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC114 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC120 = 1 then IHCC_SEVERITY2 = 1;
