Model,Variable,Platinum,Gold,Silver,Bronze,Catastrophic
Adult,MAGE_LAST_21_24,0.258,0.208,0.141,0.078,0.062
Adult,MAGE_LAST_25_29,0.278,0.223,0.15,0.081,0.064
Adult,MAGE_LAST_30_34,0.338,0.274,0.187,0.101,0.079
Adult,MAGE_LAST_35_39,0.413,0.339,0.24,0.14,0.113
Adult,MAGE_LAST_40_44,0.487,0.404,0.293,0.176,0.145
Adult,MAGE_LAST_45_49,0.581,0.487,0.365,0.231,0.195
Adult,MAGE_LAST_50_54,0.737,0.626,0.484,0.316,0.269
Adult,MAGE_LAST_55_59,0.863,0.736,0.58,0.393,0.339
Adult,MAGE_LAST_60_GT,1.028,0.88,0.704,0.487,0.424
Adult,FAGE_LAST_21_24,0.433,0.35,0.221,0.101,0.072
Adult,FAGE_LAST_25_29,0.548,0.448,0.301,0.156,0.12
Adult,FAGE_LAST_30_34,0.656,0.546,0.396,0.243,0.203
Adult,FAGE_LAST_35_39,0.76,0.641,0.49,0.334,0.293
Adult,FAGE_LAST_40_44,0.839,0.713,0.554,0.384,0.338
Adult,FAGE_LAST_45_49,0.878,0.747,0.583,0.402,0.352
Adult,FAGE_LAST_50_54,1.013,0.869,0.695,0.486,0.427
Adult,FAGE_LAST_55_59,1.054,0.905,0.726,0.507,0.443
Adult,FAGE_LAST_60_GT,1.156,0.99,0.798,0.559,0.489
Adult,HHS_HCC001,5.485,4.972,4.74,4.74,4.749
Adult,HHS_HCC002,13.696,13.506,13.429,13.503,13.529
Adult,HHS_HCC003,7.277,7.14,7.083,7.117,7.129
Adult,HHS_HCC004,4.996,4.73,4.621,4.562,4.55
Adult,HHS_HCC006,9.672,9.549,9.501,9.508,9.511
Adult,HHS_HCC008,25.175,24.627,24.376,24.491,24.526
Adult,HHS_HCC009,11.791,11.377,11.191,11.224,11.235
Adult,HHS_HCC010,6.432,6.15,6.018,5.983,5.97
Adult,HHS_HCC011,5.961,5.679,5.544,5.5,5.483
Adult,HHS_HCC012,3.509,3.294,3.194,3.141,3.121
