ICD9,ICD9 Label,Valid_2014,Valid_2015,AGE_AT_DIAG,SEX_COND,CC_AGE_SPLIT,CC_SEX_SPLIT,CC,Additional_CC
042,Human immuno virus dis,Y,Y,,,,,1,
07953,Hiv-2 infection oth dis,Y,Y,,,,,1,
V08,Asymp hiv infectn status,Y,Y,,,,,1,
0031,Salmonella septicemia,Y,Y,,,,,2,
0202,Septicemic plague,Y,Y,,,,,2,
0223,Anthrax septicemia,Y,Y,,,,,2,
0362,Meningococcemia,Y,Y,,,,,2,
0380,Streptococcal septicemia,Y,Y,,,,,2,
0382,Pneumococcal septicemia,Y,Y,,,,,2,
0383,Anaerobic septicemia,Y,Y,,,,,2,
0388,Septicemia NEC,Y,Y,,,,,2,
0389,Septicemia NOS,Y,Y,,,,,2,
0545,Herpetic septicemia,Y,Y,,,,,2,
03810,Staphylcocc septicem NOS,Y,Y,,,,,2,
03811,Meth susc Staph aur sept,Y,Y,,,,,2,
03812,MRSA septicemia,Y,Y,,,,,2,
03819,Staphylcocc septicem NEC,Y,Y,,,,,2,
03840,Gram-neg septicemia NOS,Y,Y,,,,,2,
03841,H. influenae septicemia,Y,Y,,,,,2,
03842,E coli septicemia,Y,Y,,,,,2,
03843,Pseudomonas septicemia,Y,Y,,,,,2,
03844,Serratia septicemia,Y,Y,,,,,2,
03849,Gram-neg septicemia NEC,Y,Y,,,,,2,
04082,Toxic shock syndrome,Y,Y,,,,,2,
77181,NB septicemia [sepsis],Y,Y,age = 0,,,,2,
78552,Septic shock,Y,Y,,,,,2,
78559,Shock w/o trauma NEC,Y,Y,,,,,2,
99590,"SIRS, NOS",Y,Y,,,,,2,
99591,Sepsis,Y,Y,,,,,2,
99592,Severe sepsis,Y,Y,,,,,2,
99593,SIRS-noninf w/o ac or ds,Y,Y,,,,,2,
99594,SIRS-noninf w ac org dys,Y,Y,,,,,2,
00321,Salmonella meningitis,Y,Y,,,,,3,
0065,Amebic brain abscess,Y,Y,,,,,3,
01300,TB meningitis-unspec,Y,Y,,,,,3,
01301,TB meningitis-no exam,Y,Y,,,,,3,
01302,TB meningitis-exam unkn,Y,Y,,,,,3,
01303,TB meningitis-micro dx,Y,Y,,,,,3,
01304,TB meningitis-cult dx,Y,Y,,,,,3,
01305,TB meningitis-histo dx,Y,Y,,,,,3,
01306,TB meningitis-oth test,Y,Y,,,,,3,
01310,Tubrclma meninges-unspec,Y,Y,,,,,3,
01311,Tubrclma mening-no exam,Y,Y,,,,,3,
01312,Tubrclma menin-exam unkn,Y,Y,,,,,3,
01313,Tubrclma mening-micro dx,Y,Y,,,,,3,
01314,Tubrclma mening-cult dx,Y,Y,,,,,3,
01315,Tubrclma mening-histo dx,Y,Y,,,,,3,
01316,Tubrclma mening-oth test,Y,Y,,,,,3,
01320,Tuberculoma brain-unspec,Y,Y,,,,,3,
01321,Tubrcloma brain-no exam,Y,Y,,,,,3,
01322,Tubrclma brain-exam unkn,Y,Y,,,,,3,
01323,Tubrcloma brain-micro dx,Y,Y,,,,,3,
01324,Tubrcloma brain-cult dx,Y,Y,,,,,3,
01325,Tubrcloma brain-histo dx,Y,Y,,,,,3,
01326,Tubrcloma brain-oth test,Y,Y,,,,,3,
01330,TB brain abscess-unspec,Y,Y,,,,,3,
01331,TB brain abscess-no exam,Y,Y,,,,,3,
01332,TB brain absc-exam unkn,Y,Y,,,,,3,
01333,TB brain absc-micro dx,Y,Y,,,,,3,
01334,TB brain abscess-cult dx,Y,Y,,,,,3,
01335,TB brain absc-histo dx,Y,Y,,,,,3,
01336,TB brain absc-oth test,Y,Y,,,,,3,
01340,Tubrclma sp cord-unspec,Y,Y,,,,,3,
01341,Tubrclma sp cord-no exam,Y,Y,,,,,3,
01342,Tubrclma sp cd-exam unkn,Y,Y,,,,,3,
01343,Tubrclma sp crd-micro dx,Y,Y,,,,,3,
01344,Tubrclma sp cord-cult dx,Y,Y,,,,,3,
01345,Tubrclma sp crd-histo dx,Y,Y,,,,,3,
01346,Tubrclma sp crd-oth test,Y,Y,,,,,3,
01350,TB sp crd abscess-unspec,Y,Y,,,,,3,
01351,TB sp crd absc-no exam,Y,Y,,,,,3,
01352,TB sp crd absc-exam unkn,Y,Y,,,,,3,
01353,TB sp crd absc-micro dx,Y,Y,,,,,3,
01354,TB sp crd absc-cult dx,Y,Y,,,,,3,
01355,TB sp crd absc-histo dx,Y,Y,,,,,3,
01356,TB sp crd absc-oth test,Y,Y,,,,,3,
01360,TB encephalitis-unspec,Y,Y,,,,,3,
01361,TB encephalitis-no exam,Y,Y,,,,,3,
01362,TB encephalit-exam unkn,Y,Y,,,,,3,
01363,TB encephalitis-micro dx,Y,Y,,,,,3,
01364,TB encephalitis-cult dx,Y,Y,,,,,3,
01365,TB encephalitis-histo dx,Y,Y,,,,,3,
01366,TB encephalitis-oth test,Y,Y,,,,,3,
01380,Cns TB NEC-unspec,Y,Y,,,,,3,
01381,Cns TB NEC-no exam,Y,Y,,,,,3,
01382,Cns TB NEC-exam unkn,Y,Y,,,,,3,
01383,Cns TB NEC-micro dx,Y,Y,,,,,3,
01384,Cns TB NEC-cult dx,Y,Y,,,,,3,
01385,Cns TB NEC-histo dx,Y,Y,,,,,3,
01386,Cns TB NEC-oth test,Y,Y,,,,,3,
01390,Cns TB NOS-unspec,Y,Y,,,,,3,
01391,Cns TB NOS-no exam,Y,Y,,,,,3,
01392,Cns TB NOS-exam unkn,Y,Y,,,,,3,
01393,Cns TB NOS-micro dx,Y,Y,,,,,3,
01394,Cns TB NOS-cult dx,Y,Y,,,,,3,
01395,Cns TB NOS-histo dx,Y,Y,,,,,3,
01396,Cns TB NOS-oth test,Y,Y,,,,,3,
0360,Meningococcal meningitis,Y,Y,,,,,3,
0361,Meningococc encephalitis,Y,Y,,,,,3,
037,Tetanus,Y,Y,,,,,3,
04500,Ac bulbar polio-type NOS,Y,Y,,,,,3,
04501,Ac bulbar polio-type 1,Y,Y,,,,,3,
04502,Ac bulbar polio-type 2,Y,Y,,,,,3,
04503,Ac bulbar polio-type 3,Y,Y,,,,,3,
04510,Paral polio NEC-type NOS,Y,Y,,,,,3,
04511,Paral polio NEC-type 1,Y,Y,,,,,3,
04512,Paral polio NEC-type 2,Y,Y,,,,,3,
04513,Paral polio NEC-type 3,Y,Y,,,,,3,
04520,Nonparaly polio-type NOS,Y,Y,,,,,3,
04521,Nonparalyt polio-type 1,Y,Y,,,,,3,
04522,Nonparalyt polio-type 2,Y,Y,,,,,3,
04523,Nonparalyt polio-type 3,Y,Y,,,,,3,
04590,Ac polio NOS-type NOS,Y,Y,,,,,3,
04591,Ac polio NOS-type 1,Y,Y,,,,,3,
04592,Ac polio NOS-type 2,Y,Y,,,,,3,
04593,Ac polio NOS-type 3,Y,Y,,,,,3,
0498,Viral encephalitis NEC,Y,Y,,,,,3,
0499,Viral encephalitis NOS,Y,Y,,,,,3,
0520,Postvaricella encephalit,Y,Y,,,,,3,
0543,Herpetic encephalitis,Y,Y,,,,,3,
0550,Postmeasles encephalitis,Y,Y,,,,,3,
05601,Rubella encephalitis,Y,Y,,,,,3,
05821,Human herpesvir 6 enceph,Y,Y,,,,,3,
05829,Human herpesvr encph NEC,Y,Y,,,,,3,
0620,Japanese encephalitis,Y,Y,,,,,3,
0621,West equine encephalitis,Y,Y,,,,,3,
0622,East equine encephalitis,Y,Y,,,,,3,
0623,St Louis encephalitis,Y,Y,,,,,3,
0624,Australian encephalitis,Y,Y,,,,,3,
0625,California encephalitis,Y,Y,,,,,3,
0628,Mosquit-borne enceph NEC,Y,Y,,,,,3,
0629,Mosquit-borne enceph NOS,Y,Y,,,,,3,
0630,Russia spr-summer enceph,Y,Y,,,,,3,
0631,Louping ill,Y,Y,,,,,3,
0632,Cent Europe encephalitis,Y,Y,,,,,3,
0638,Tick-borne enceph NEC,Y,Y,,,,,3,
0639,Tick-borne enceph NOS,Y,Y,,,,,3,
064,Vir enceph arthropod NEC,Y,Y,,,,,3,
0662,Venezuelan equine fever,Y,Y,,,,,3,
06640,West Nile Fever NOS,Y,Y,,,,,3,
06641,West Nile Fever w/enceph,Y,Y,,,,,3,
06642,West Nile neuro man NEC,Y,Y,,,,,3,
06649,West Nile w complic NEC,Y,Y,,,,,3,
071,Rabies,Y,Y,,,,,3,
0722,Mumps encephalitis,Y,Y,,,,,3,
09040,Juvenile neurosyph NOS,Y,Y,,,,,3,
09041,Congen syph encephalitis,Y,Y,,,,,3,
09042,Congen syph meningitis,Y,Y,,,,,3,
09049,Juvenile neurosyph NEC,Y,Y,,,,,3,
09181,Acute syphil meningitis,Y,Y,,,,,3,
0940,Tabes dorsalis,Y,Y,,,,,3,
0941,General paresis,Y,Y,,,,,3,
0942,Syphilitic meningitis,Y,Y,,,,,3,
0943,Asymptomat neurosyphilis,Y,Y,,,,,3,
09481,Syphilitic encephalitis,Y,Y,,,,,3,
09482,Syphilitic parkinsonism,Y,Y,,,,,3,
09483,Syph dissem retinitis,Y,Y,,,,,3,
09484,Syphilitic optic atrophy,Y,Y,,,,,3,
09485,Syph retrobulb neuritis,Y,Y,,,,,3,
09486,Syphil acoustic neuritis,Y,Y,,,,,3,
09489,Neurosyphilis NEC,Y,Y,,,,,3,
0949,Neurosyphilis NOS,Y,Y,,,,,3,
09882,Gonococcal meningitis,Y,Y,,,,,3,
10081,Leptospiral meningitis,Y,Y,,,,,3,
11283,Candidal meningitis,Y,Y,,,,,3,
1142,Coccidioidal meningitis,Y,Y,,,,,3,
11501,Histoplasm capsul mening,Y,Y,,,,,3,
11511,Histoplasm dubois mening,Y,Y,,,,,3,
11591,Histoplasmosis meningit,Y,Y,,,,,3,
3200,Hemophilus meningitis,Y,Y,,,,,3,
3201,Pneumococcal meningitis,Y,Y,,,,,3,
3202,Streptococcal meningitis,Y,Y,,,,,3,
3203,Staphylococc meningitis,Y,Y,,,,,3,
3207,Mening in oth bact dis,Y,Y,,,,,3,
32081,Anaerobic meningitis,Y,Y,,,,,3,
32082,Mningts gram-neg bct NEC,Y,Y,,,,,3,
32089,Meningitis oth spcf bact,Y,Y,,,,,3,
3209,Bacterial meningitis NOS,Y,Y,,,,,3,
3211,Mening in oth fungal dis,Y,Y,,,,,3,
3213,Trypanosomiasis meningit,Y,Y,,,,,3,
3214,Meningit d/t sarcoidosis,Y,Y,,,,,3,
3218,Mening in oth nonbac dis,Y,Y,,,,,3,
32301,Enceph/encephmye oth dis,Y,Y,,,,,3,
3231,Rickettsial encephalitis,Y,Y,,,,,3,
3232,Protozoal encephalitis,Y,Y,,,,,3,
32341,Enceph/myelitis-oth inf,Y,Y,,,,,3,
32351,Enceph/myel folwg immune,Y,Y,,,,,3,
32361,Inf ac dis encephalomyel,Y,Y,,,,,3,
32362,Postinf encephalitis NEC,Y,Y,,,,,3,
32381,Enceph & encephlalo NEC,Y,Y,,,,,3,
3239,Encephalitis NOS,Y,Y,,,,,3,
3240,Intracranial abscess,Y,Y,,,,,3,
3241,Intraspinal abscess,Y,Y,,,,,3,
3249,Cns abscess NOS,Y,Y,,,,,3,
325,Phlebitis intrcran sinus,Y,Y,,,,,3,
0470,Coxsackie virus mening,Y,Y,,,,,4,
0471,Echo virus meningitis,Y,Y,,,,,4,
0478,Viral meningitis NEC,Y,Y,,,,,4,
0479,Viral meningitis NOS,Y,Y,,,,,4,
048,Oth enteroviral cns dis,Y,Y,,,,,4,
0490,Lymphocytic choriomening,Y,Y,,,,,4,
