delta,prods
-3.9925794956970124,1
-2.9837237725167185,2
-3.4449405104086095,3
-1.5332669648067787,4
-4.831640468106495,5
-4.39784327246825,6
-3.9746012825647696,7
-3.9517547786923792,8
-3.040594701812016,9
-1.0514152901483764,10
-4.152439357154912,11
-2.2683442070029245,12
-4.565348451269564,13
-4.562754249711529,14
-4.137849047672162,15
-2.4637997240411966,16
-5.673041916252809,17
-5.732611693656447,18
-4.45401153450078,19
-5.585696799420683,20
-2.9819555789575487,21
-0.3109727938893707,22
-0.24028233991978643,23
0.19940177488389188,24
-0.4257749206021697,25
-0.019996224668276552,26
1.0441392160263734,27
-0.4276603274219992,28
-0.10002183446274548,29
0.27614329540284466,30
-0.4889096277972367,31
-0.335436013203539,32
0.04882478926637779,33
0.44198468309842376,34
-0.35231088203048433,35
0.34982321901322777,36
0.27300793083073316,37
0.5330139259773539,38
-0.0973004447006669,39
0.5753808789207018,40
0.4241382668688354,41
0.007926159368237595,42
-0.171486907391301,43
-1.5034844488003487,44
-1.3789519955659313,45
-1.4419986947726922,46
-1.72604885333062,47
-1.667418887418207,48
-1.3509730393387787,49
-1.4427485211074624,50
-1.596766202824094,51
-1.3166136915280418,52
-1.8590396407073326,53
-1.2096825056176508,54
-3.9439103620296745,55
-3.121855720547541,56
-4.438742861160164,57
-1.3921339548705176,58
-3.4979985316706523,59
-3.52821943768203,60
-3.9733091064209125,61
-2.5340988222604555,62
-2.18820298220073,63
0.09413451207778412,64
0.28311694921496544,65
0.3944479931015248,66
0.2666043842858976,67
0.33238968761203624,68
0.5897961963338219,69
-0.13276259917198074,70
0.2602336029973884,71
0.6107154776614465,72
0.31436383230761544,73
-0.2987397629196642,74
-3.7055815042146767,75
-3.522127116822751,76
-1.1961959746984916,77
-3.0419788980033022,78
-1.5496117457070153,79
-1.7438224929493957,80
-0.5619351084167454,81
-3.5325793655544,82
-4.8701622298021015,83
-2.9094879931378625,84
-4.909204603848795,85
-4.039185714985238,86
-2.9471701172286178,87
-3.1982196041729747,88
-2.4882546279444435,89
-2.108616708565303,90
-2.152323226857489,91
-2.789337786311275,92
-0.30175960509176036,93
-2.939569916696766,94
-2.428179092737502,95
-1.653629724372323,96
-1.8404585194379823,97
0.8709837808481239,98
-1.2845363461947934,99
-2.42898103149465,100
-3.0658381993090886,101
-3.031913998672612,102
-2.345933264986348,103
-2.4993517549012623,104
-1.043780255478508,105
-3.5589616318694164,106
-2.1088767499429437,107
-2.6561630123668882,108
-3.2987968637283247,109
-2.713332408360947,110
-1.8817971494300587,111
-2.49035719338305,112
-4.023788567331827,113
-1.6756342648821247,114
-1.170200327838447,115
-2.9173161799672567,116
-1.2685215111586041,117
-1.0670075713823453,118
-2.294643502219997,119
-1.1743802108496153,120
-3.9158924750959283,121
-4.000897819851206,122
-3.6087308210247837,123
-3.996417361784008,124
-4.821157345184867,125
-4.1945853742769925,126
-1.760328398433511,127
-2.5486899157558303,128
-2.755766736948877,129
-2.335783607036604,130
-1.4625682991406603,131
-2.4525823485056844,132
-2.9272396924354362,133
-2.825188045239212,134
-2.253375645300686,135
-5.972695711479752,136
-5.092805409711002,137
-3.376144546963416,138
-1.0164349401431023,139
-0.8889411979838857,140
-0.3680115768436121,141
-0.17341969072479513,142
-3.7112010045325015,143
-0.9393740259076564,144
-1.2782068243842435,145
-0.6550365800360654,146
-0.4881708941213154,147
-4.288455450144741,148
-3.892949452429489,149
-3.1224115427214088,150
-4.956163248450266,151
-3.0523020874182407,152
-3.1453909774418647,153
-3.5425167558386264,154
-0.9053385793100395,155
-0.7767357158903501,156
-0.00031671046278503034,157
-0.36256719007932636,158
-3.914089826156318,159
-1.1462907386105914,160
-1.2099597882147473,161
-0.9192232569631225,162
-0.4835888482697088,163
-4.426150363556169,164
-5.525198814545985,165
-4.9059791790609495,166
-4.777147594578492,167
-5.963723303544899,168
-3.8706974271631704,169
-2.3087670219964718,170
-2.564424525770521,171
-3.680842503036023,172
-1.4214607640347383,173
-4.703064872701182,174
-3.599752597592383,175
-4.281861773654817,176
-3.3162255172338133,177
-4.603386716047422,178
-2.9688431221378644,179
-3.643248623780507,180
-3.203227926094544,181
-3.5599656649267706,182
-3.0163157434534873,183
-4.646789608254577,184
-3.3566555174619257,185
-3.6451688500129213,186
-4.254216283196447,187
-4.0515793682470616,188
-2.572452016073944,189
-2.3995891139098102,190
-2.7607152390179754,191
-2.9416775767156578,192
-2.6015866301157606,193
-1.8649933666870644,194
-2.8366650646077005,195
-2.758190235649049,196
-3.188262611730189,197
-1.0246933653372268,198
-4.3534281714229035,199
-2.546873985943149,200
-4.307539000661575,201
-3.3290161600669608,202
-3.591091982332915,203
